,text,sentiment,word_count
ENTRY-000,"I know, I know. It's Red Lobster. It's been at least 10 years since I set foot in one. But Hubby and I watch the Food Network, and on Sunday we saw Kelsey win the Fresh Fish Challenge on the Next Food Network Star. It was an odd sounding dish- Macadamia Tilapia with White Chocolate Beurre Blanc- and Hubby decided he had to try it. So I got a couple of gift cards using my AmEx points (so if it was awful, at least we weren't paying for it).\n\nHubby's Advice to Yelpers: \""Get over your disdain for chains and do not miss this dish. Kelsey is some kind of bizarre genius.\"" And I have to agree. I never would have thought this would be good, but it totally works. The tilapia was perfectly cooked, crusted with a generous amount of toasted macadamia nuts, and sitting in a pool of beurre blanc with a light taste of white chocolate. For Top Chef fans, this was NOT anything like Dale's butterscotch scallops. It was subtle and unexpectedly amazing.\n\nMy dinner was fine. I had the honey and citrus glazed grilled skewers of shrimp and scallops. The scallops were overdone, but the shrimp were cooked well and the glaze was a really nice complement to them. \n\nConclusion: Go for the Kelsey special. It's the real deal.",Positive,222
ENTRY-001,By far the best option for anyone looking to book tables or anything related to partying in Vegas. Once I got in contact with Jeremy I was able to hit him up with any little question I had about my weekend. Must have texted him like fifty times with questions and he never once made it feel like it was an inconvenience for him. O and you have last minute changes to your plans? No problem at all. Jeremy is there to make any changes necessary. We had 12 guys getting a table at XS on Saturday during the first round of the NCAA tournament (easily one of the busiest weekends in Vegas. We probably waited 5 minutes to get in and Jeremy hooked it up with a sweet table just off the dance floor compared to a lame table outside for no extra price. Dude is there for you 24/7 during and leading up to your trip. Booked with him twice now and gonna keep booking with him every time I go to Vegas. Hit up Jeremy you won't regret it.,Positive,182
ENTRY-002,"This was my first ever show in Vegas and I loved it. This is a erotic, acrobatic show that mirrors a Circus du Soleil show. The acrobatics are awesome and the Ring Leader and is Assistant are so funny. The show takes place in a small, intimate big top setting. When we bought the tickets, we opted for the show with dinner. The dinner was at Planet Hollywood (which was totally not worth a dime), but the seats we got at Absinthe were totally worth it! The stage is set around a small circular stage. There are about 10-15 rows of wooden seats around that, then a walkway and then a slightly higher section with probably 10 seats that are cushioned. We had seats in two cushioned armchairs that seamed to be the plushest in the place. We were in the last row, but sitting there for over an hour, those seats seemed to be the best. It's a small venue, so the view was just fine. \nThe humor was raunchy, but truly entertaining.  I would recommend this show to anyone that wants a \""Vegas\"" experience. The performers were a class act!",Positive,192
ENTRY-003,"NOTE: Golden Gate has been in it's spot since 1906! They are the FIRST hotel in Downtown Las Vegas. So space may feel limited which did not bother me or my wife. \n\nMy wife and I came to Golden Gate for the first time as we had visited Downtown Las Vegas for the first time. Our impressions of Golden Gate was absolutely amazing. My wife and I usually sleep on the strip and used to luxurious rooms at the Wynn, Trump and etc... \n\nValet: I love the Golden Gate Valet. I never have to tell them that my car is SLAMMED. If you are anal about your car in downtown, park it there, go through the casino enjoy a drink with their friendly bartenders, then go out to Fremont. I always tip well here at the bar and valet.\n\nCheck In: Absolutely amazing and fast. You can clearly tell that front desk knows what they are doing. I was wondering what they're penthouse suites looked like since that had amazing reviews. David the manager took my wife and I up the elevator and gave us an amazing tour of the room. IT'S SIMPLY JAW DROPPING. And we really enjoyed David showing us around as he informed us of what Golden Gate has to offer.\nOur room was more than satisfying. I don't understand what everybody's complaint is about space, you don't even spend time in your room when you're in Vegas except to sleep. \n\nFood \""Du-Par's\"": I LOVE THIS PLACE. YES THEY'RE SHRIMP COCKTAIL IS TO DIE FOR~!!! Best way to describe this place is... I really feel like I am eating a home cooked american meal. And it's not like how other places advertise \""home cooked meal\"". My favorite, corned beef hash and two eggs. get their pancakes. I was able to try them before I found out I have a gluten allergy, and they are amazing and I miss them so much. \n\nCasino: Overall feel is extremely lively. They're dancing dealers give a feel to a casino that you don't get anywhere else except the \""D\"" which the owners are the same. The dealers here are friendly and nice. Only complaint about them.... they are slow.... very slow. I was introduced to Steven the casino host who also is a great gentleman. I felt like I was taken care of on the casino floor. \n\nOverall: My Wife and I really felt taken care of by the entire staff. We plan on reserving the penthouse anytime we have a decent size of friends and family coming. Our special thanks to David for telling us what to do around downtown. \n\nThanks Golden Gate for a great time.",Positive,445
ENTRY-004,"I'm not one of those people who are too impressed by the fake sky and indoor canal in the venetian, so if that's interesting to you, you might enjoy this place more. I think the food here is good not great. We started with a queso appetizer and added jalapenos to it. It was just huge chunks of jalapeno and very little cheese and almost inedible.\n\nFor dinner I had the five tacos. The steak and pork were great, the fish was meh. $5 house margarita for happy hour was nice. \n\nGood place to stop for a quick lunch but I wouldn't go out of my way to eat here.",Negative,109
ENTRY-005,"The folks at this location are really good. Even during the busy holiday season, they're willing to help you out with whatever you need to get done, and in the most cost-effective way.\n\nNormally going to the post office is a hassle, but I don't dread going here -- the employees are friendly and really do want to help.",Positive,58
ENTRY-006,"Ooh La La, Capital Grille is the most Ritzy and detail oriented restaurant in Charlotte, to help you understand what I mean allow me to tell a little story:  It was my Girlfriend's Birthday and I wanted to make a good impression on her, so I decided to take her to Capital grille in Uptown Charlotte.  I called and made reservations, they were very nice and completely accommodating over the phone.  We arrive on time for our reservations and we are greeted by the hostess who is the first to tell my girlfriend Happy Birthday, everyone inn the restaurant from the servers to the bus boys said hello to us and wished my girl a happy birthday.  When we arrived at the table it was covered in a very classy looking glitter and decorations specifically yfor the occasion.  They made us feel like movie stars, and she thought I was amazing because I had set all this up, but really it was all Capital Grille. So right away the service has set the scene for us to have an excellent night.\n\nThen came the food, we started with a round of gin and tonics, good, and a crab cake appetizer which was amazing, chunks of perfectly seasoned crab meat, and just enough to wet our appetites for the main course.  She ordered the fillet Mignon, and I got the porterhouse.  It was spectacular.  The meat is aged in a glassed in room, which you can see when you first walk in, and tastes incredibly rich, with many layers of flavor, from the smoked grilled aspect to the texture of the aged beef, ummm, I even took the bone home and gnawed on it the next day, it was that good.  The mashed potatoes were really good too.\n\nCapital grille is perfect for special occasions, a little pricey, but when you're celebrating, this is the place to go all out.",Positive,317
ENTRY-007,"Get the children out from behind the counter. They were pawing all the cookies! Gross! Got two breakfast sandwiches that were about as good as I make at home. Very mediocre overall. Usually I like a family run business, but the whole crew was there, one was working, and it just wasn't a pleasant experience overall.",Negative,56
ENTRY-008,"i came here for my best friend's bachelorette party.  we booked our rooms through a travel website and got a great rate for our rooms in the forum tower.\nupon arriving at the main entrance, i wandered around the lobby area looking for the forum towers.  the signage was confusing so i had to ask an employee for help.  i shoulda known that the forum towers would be located by the forum shops (duh!).  \nthe rooms were adequately sized and the beds were oh-so-comfy!  since we had a full itinerary for the weekend, we never really got a chance to spend time at the pool; although we made time to check out the forum shops which is every shopper's dream!  all these amazing stores, just make sure you have enough $ to shop.  otherwise, it's just a tease!\nstaying here was great since it's right on the strip and pretty centrally located to all the great clubs and restaurants.",Positive,157
ENTRY-009,"I can go on for hours to describe the distaste I have for this place, however I will spare you the reading and simply state... This place overall, is no good!  I frequent this place, and gotta say, don't get treated as if I am a regular.  Not that I am looking for special treatment, but this bar has not once shown an ounce of thanks or gratitude for the amount of people I have continued to bring into their establishment.  I did give them two stars, because their happy hour special is what keeps them afloat.  A bar that gives the impression of an irish pub, should be an irish pub.  Not a late night dance club, who allows all girls to dance on the bar, and plays favoritism when it comes to kicking people out.  If you win happy hour, chances are, you may catch a buzz... if this is noticed by the bouncers, you're out.  And yet, they will allow all girls, even sloppy drunk, to get on top of their bar and show off for the egotistical drunken pigs slowly wallowing around this pathetic excuse for a bar.  McFaddens, I have heard many bad things about  you, and yet I continue to frequent your establishment.  As I said above, bravo for your happy hours, because I fret that without those, you would have no business.",Negative,229
